id,humor_rating
9001,2.3303428
9002,1.8594669
9003,2.508352
9004,1.9805694
9005,2.0909069
9006,2.2845128
9007,1.7973047
9008,1.986316
9009,2.1272907
9010,2.0752492
9011,2.1876278
9012,1.788039
9013,1.9123383
9014,2.0336492
9015,2.067157
9016,2.182578
9017,2.4456658
9018,2.3253875
9019,1.7232744
9020,1.8171827
9021,1.7028836
9022,2.0372941
9023,2.347138
9024,2.1329367
9025,1.8408294
9026,2.012559
9027,2.304186
9028,2.1132698
9029,1.9004711
9030,2.316794
9031,2.2812812
9032,2.110698
9033,1.6988562
9034,2.1812694
9035,2.310733
9036,1.9031352
9037,2.1890018
9038,2.4114199
9039,2.3757493
9040,2.0976186
9041,1.8257816
9042,2.2198853
9043,2.001564
9044,1.9535199
9045,2.111051
9046,2.2449906
9047,2.0997984
9048,1.9759375
9049,2.2532794
9050,1.9000607
9051,2.4268427
9052,1.919911
9053,2.2443962
9054,2.160549
9055,1.8079334
9056,1.8665851
9057,1.9514862
9058,1.6656425
9059,2.0342205
9060,2.080021
9061,2.0695393
9062,2.2565944
9063,2.142665
9064,2.18117
9065,1.5389211
9066,1.7697049
9067,2.1253877
9068,2.45554
9069,1.7257124
9070,2.181185
9071,2.3956635
9072,1.8657714
9073,1.977138
9074,2.3598585
9075,2.1307428
9076,1.9518509
9077,2.7359324
9078,2.2043037
9079,1.5431167
9080,2.4353397
9081,2.166908
9082,1.9595184
9083,2.024844
9084,1.7156178
9085,2.1201627
9086,2.0619445
9087,2.1089835
9088,1.5026191
9089,2.1179905
9090,1.9340892
9091,2.3011374
9092,2.1239784
9093,2.298933
9094,2.0945065
9095,1.786538
9096,1.4673687
9097,2.054449
9098,2.3769846
9099,2.0436618
9100,1.9998901
9101,2.361312
9102,1.9671124
9103,2.3902462
9104,2.234376
9105,2.1696827
9106,2.1459987
9107,2.5367239
9108,2.2412984
9109,2.2098305
9110,1.9337442
9111,1.9864588
9112,1.9973067
9113,2.0465732
9114,2.15588
9115,2.1625528
9116,1.7686272
9117,1.944033
9118,1.8415858
9119,1.7733953
9120,1.8680626
9121,2.2927418
9122,2.3278086
9123,1.8308742
9124,2.2764678
9125,2.2923927
9126,2.4571831
9127,2.1765382
9128,2.2896054
9129,1.9555829
9130,1.5782061
9131,1.6949109
9132,2.317473
9133,1.530456
9134,2.2723346
9135,2.042257
9136,1.7543004
9137,2.401225
9138,1.5400054
9139,2.364264
9140,1.9696727
9141,2.3697882
9142,2.1408944
9143,1.8054994
9144,2.2269464
9145,2.616502
9146,2.3148174
9147,1.988028
9148,1.7953017
9149,1.5801492
9150,2.2149181
9151,2.091868
9152,2.2615964
9153,2.439409
9154,2.2202928
9155,1.8352131
9156,2.3699777
9157,2.204938
9158,1.9455763
9159,2.4179983
9160,1.9029613
9161,2.259283
9162,2.154422
9163,1.7289051
9164,1.8354875
9165,1.732985
9166,1.9348414
9167,2.0044262
9168,2.1329753
9169,2.3894005
9170,2.1591187
9171,1.7762483
9172,2.0032206
9173,1.8680785
9174,1.7170234
9175,1.8835647
9176,2.243108
9177,2.0399394
9178,1.9158906
9179,2.1584008
9180,2.097739
9181,1.9305395
9182,2.0659387
9183,2.218138
9184,2.450025
9185,2.0454667
9186,1.8951875
9187,2.1881497
9188,2.2732835
9189,2.1008687
9190,2.0803623
9191,2.2494147
9192,1.9341357
9193,1.7072068
9194,1.980702
9195,1.6886784
9196,1.9580083
9197,2.1328826
9198,2.4509711
9199,1.7778668
9200,1.3790885
9201,2.251742
9202,2.2182486
9203,1.8633453
9204,2.2952724
9205,2.1313007
9206,1.8442034
9207,2.2691464
9208,2.1900988
9209,2.0236063
9210,2.3875787
9211,1.871383
9212,1.8619403
9213,2.3297918
9214,1.8603663
9215,2.102677
9216,2.3842874
9217,2.068198
9218,2.2552657
9219,2.0936515
9220,1.9508116
9221,1.611574
9222,2.085255
9223,2.371275
9224,2.4068081
9225,2.1639507
9226,2.2248967
9227,2.313771
9228,2.3910573
9229,1.8727752
9230,2.2540693
9231,2.303942
9232,2.36053
9233,2.1742973
9234,2.15847
9235,2.0081716
9236,1.5772929
9237,2.1953332
9238,1.8747015
9239,2.279757
9240,1.8285127
9241,2.0433693
9242,1.9475632
9243,2.1496782
9244,2.0670424
9245,2.5185819
9246,2.3087673
9247,1.8573148
9248,1.5213922
9249,2.2346458
9250,2.0925627
9251,2.2474492
9252,2.342771
9253,1.7309172
9254,2.163588
9255,2.099918
9256,2.125399
9257,2.124547
9258,1.9620551
9259,2.0982897
9260,1.6854569
9261,2.4027102
9262,1.9399029
9263,1.8875493
9264,1.7759326
